date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:23	75719/75719	---MCZ	200	added ('OK')	text/html	etag:W/%2264f9b7e9-127c7%22	https://rstheme.com/products/html/planteo/index.html	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/index.html	(from )
13:38:24	122/122	---MCZ	200	added ('OK')	text/plain	date:Sat,%2023%20Sep%202023%2007:38:24%20GMT	https://rstheme.com/robots.txt		(from )
13:38:25	64908/64908	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Sep%202023%2007:38:25%20GMT	https://rstheme.com/products/html/planteo/apple-touch-icon.png	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/apple-touch-icon.png	(from https://rstheme.com/products/html/planteo/index.html)
13:38:26	3750/3750	---M--	200	added ('OK')	image/png	etag:%2264f9b7e9-ea6%22	https://rstheme.com/products/html/planteo/images/fav.png	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/images/fav.png	(from https://rstheme.com/products/html/planteo/index.html)
13:38:26	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-235ed%22	https://rstheme.com/products/html/planteo/css/bootstrap.min.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/bootstrap.min.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:26	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-7918%22	https://rstheme.com/products/html/planteo/css/font-awesome.min.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/font-awesome.min.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:27	4028/4028	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-fbc%22	https://rstheme.com/products/html/planteo/css/owl.carousel.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/owl.carousel.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:27	70824/70824	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-114a8%22	https://rstheme.com/products/html/planteo/css/animate.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/animate.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:27	1729/1729	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-6c1%22	https://rstheme.com/products/html/planteo/css/slick.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/slick.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:28	5655/5655	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-1617%22	https://rstheme.com/products/html/planteo/css/off-canvas.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/off-canvas.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:28	1705/1705	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-6a9%22	https://rstheme.com/products/html/planteo/fonts/flaticon.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/fonts/flaticon.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:28	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-1b27%22	https://rstheme.com/products/html/planteo/css/magnific-popup.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/magnific-popup.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:29	11623/11623	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-2d67%22	https://rstheme.com/products/html/planteo/css/rsmenu-main.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/rsmenu-main.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:29	13678/13678	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-356e%22	https://rstheme.com/products/html/planteo/css/swiper.min.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/swiper.min.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:29	827/827	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-33b%22	https://rstheme.com/products/html/planteo/css/rsmenu-transitions.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/rsmenu-transitions.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:30	2302/2302	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-8fe%22	https://rstheme.com/products/html/planteo/css/rsanimations.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/rsanimations.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:30	141924/141924	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-22a64%22	https://rstheme.com/products/html/planteo/style.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/style.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:31	188448/188448	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-2e020%22	https://rstheme.com/products/html/planteo/css/rs-spacing.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/rs-spacing.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:31	23529/23529	---MCZ	200	added ('OK')	text/css	etag:W/%2264f9b7e9-5be9%22	https://rstheme.com/products/html/planteo/css/responsive.css	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/css/responsive.css	(from https://rstheme.com/products/html/planteo/index.html)
13:38:31	7328/7328	---M--	200	added ('OK')	image/png	etag:%2264f9b7e9-1ca0%22	https://rstheme.com/products/html/planteo/images/logo-dark.png	C:/My%20Web%20Sites/garden1/rstheme.com/products/html/planteo/images/logo-dark.png	(from https://rstheme.com/products/html/planteo/index.html)
